id,escolas_postos,bairro,endereço,lat,lon,nome,subprefeitura,quantidade
178,CENTRO INTEGRADO DE EDUCACAO PUBLICA HENFIL,CAJU,RUA CARLOS SEIDL SEM NUMERO,-22.88089,-43.22533,CAJU,CENTRO,20.0
634,EM ALICE DO AMARAL PEIXOTO,BENFICA,RUA EBANO 187,-22.88957,-43.2362,BENFICA,CENTRO,121.0
483,EM CELESTINO SILVA,CENTRO,RUA DO LAVENIDARADIO 56,-22.90929,-43.18358,CENTRO,CENTRO,220.0
476,ESCOLA MUNICIPAL FLORIANO PEIXOTO,SAO CRISTOVAO,PRACA ARGENTINA 20,-22.89763,-43.22746,SAO CRISTOVAO,CENTRO,190.0
132,EM PEREIRA PASSOS,RIO COMPRIDO,PRACA CONDESSA PAULO DE FRONTIN 45,-22.92441,-43.20858,RIO COMPRIDO,CENTRO,67.0
017,E.M PRESIDENTE JOSE LINHARES,IPANEMA,RUA BARAO DA TORRE 90,-22.98333,-43.19904,IPANEMA,ZONA SUL,48.0
055,EM SANTA CATARINA,SANTA TERESA,RUA EDUARDO SANTOS 38,-22.91554,-43.19159,SANTA TERESA,CENTRO,92.0
490,E.M TIA CIATA,CENTRO,AVENIDAENIDA PRESIDENTE VARGAS SEM NUMERO,-22.90712,-43.19507,CENTRO,CENTRO,578.0
600,EM URUGUAI,BENFICA,RUA ANA NERI 192,-22.89849,-43.23776,BENFICA,CENTRO,591.0
089,EM MARIO CLAUDIO,RIO COMPRIDO,RUA HADDOCK LOBO 148,-22.91723,-43.21104,RIO COMPRIDO,CENTRO,473.0
387,CIEP PRESIDENTE AGOSTINHO NETO,HUMAITA,RUA VISCONDE DE SILVA SEM NUMERO,-22.95917,-43.19972,HUMAITA,ZONA SUL,456.0
331,CIEP TANCREDO NEVES,CATETE,RUA DO CATETE 77,-22.92278,-43.17668,CATETE,ZONA SUL,223.0
450,EM ALBERTO BARTH,FLAMENGO,AVENIDAENIDA OSWALDO CRUZ 124,-22.94071,-43.17647,FLAMENGO,ZONA SUL,420.0
558,EM CICERO PENA,COPACABANA,AVENIDA ATLANTICA 1976,-22.96865,-43.18114,COPACABANA,ZONA SUL,573.0
413,EM COCIO BARCELOS,COPACABANA,RUA BARAO DE IPANEMA 34,-22.97483,-43.18906,COPACABANA,ZONA SUL,342.0
540,EM HENRIQUE DODSWORTH,IPANEMA,AVENIDAENIDA EPITACIO PESSOA 474,-22.98196,-43.21358,IPANEMA,ZONA SUL,516.0
309,EM MEXICO,BOTAFOGO,RUA DA MATRIZ 67,-22.95271,-43.19176,BOTAFOGO,ZONA SUL,319.0
268,ESCOLA MUNICIPAL MINAS GERAIS,URCA,AVENIDAENIDA PASTEUR 433,-22.95382,-43.16888,URCA,ZONA SUL,308.0
523,EM PRESIDENTE DA COSTA E SILVA,BOTAFOGO,RUA ASSUNCAO 257,-22.94556,-43.18659,BOTAFOGO,ZONA SUL,111.0
035,EM SENADOR CORREA,LARANJEIRAS,RUA SEN CORREA,-22.93399,-43.18101,LARANJEIRAS,ZONA SUL,525.0
011,CIEP SAMUEL WEINER,TIJUCA,AVENIDA HEITOR BELTRAO SEM NUMERO,-22.92127,-43.228,TIJUCA,GRANDE TIJUCA,445.0
226,EM AFRANIO PEIXOTO,ANDARAI,RUA FERREIRA PONTES 328,-22.92686,-43.25491,ANDARAI,GRANDE TIJUCA,164.0
638,E.M AZEVEDO SODRE,PRACA DA BANDEIRA,RUA BARAO DE UBA 331,-22.91545,-43.21109,PRACA DA BANDEIRA,GRANDE TIJUCA,293.0
126,EM DUQUE DE CAXIAS,GRAJAU,RUA MAL JOFRE 74,-22.91854,-43.26509,GRAJAU,GRANDE TIJUCA,399.0
180,ESCOLA MUNICIPAL EQUADOR,VILA ISABEL,BOULEVARD 28 DE SETEMBRO 353,-22.91615,-43.24705,VILA ISABEL,GRANDE TIJUCA,185.0
163,EM LAUDIMIA TROTTA,TIJUCA,RUA ANTONIO BASILIO 370,-22.92684,-43.23789,TIJUCA,GRANDE TIJUCA,576.0
361,EM PRUDENTE DE MORAES,TIJUCA,RUA ENES DE SOUSA 36,-22.92906,-43.23287,TIJUCA,GRANDE TIJUCA,63.0
280,ESCOLA MUNICIPAL GENERAL HUMBERTO DE SOUZA MELLO,MARACANA/ VILA ISABEL,RUA OITO DE DEZEMBRO 275,-22.90982,-43.23939,MARACANA,GRANDE TIJUCA,491.0
060,ESCOLA MUNICIPAL BARAO HOMEM DE MELO,MARACANA/ TIJUCA,RUA ALM JOAO CANDIDO BRASIL 352,-22.91683,-43.23692,MARACANA,GRANDE TIJUCA,342.0
587,EM ALMIRANTE TAMANDARE,VIDIGAL,AVENIDAENIDA PRESIDENTE JOAO GOULART 296,-22.9937,-43.23558,VIDIGAL,ZONA SUL,336.0
653,EM LUCIA MIGUEL PEREIRA,SAO CONRADO,RUA MARTAGAO GESTEIRA SEM NUMERO,-22.99742,-43.27218,SAO CONRADO,ZONA SUL,159.0
660,E.M NOSSA SENHORA DA POMPEIA,TODOS OS SANTOS,RUA CIRNE MAIA 109,-22.89203,-43.27992,TODOS OS SANTOS,ZONA NORTE,342.0
382,EM SANTOS ANJOS,LEBLON,RUA HUMBERTO DE CAMPOS SEM NUMERO,-22.98156,-43.21703,LEBLON,ZONA SUL,262.0
217,EM ALAGOAS,PILARES,AVENIDA DOM HELDER CAMARA 6742,-22.88134,-43.29409,PILARES,ZONA NORTE,440.0
378,EM BRIGADEIRO FARIA LIMA,AGUA SANTA,RUA VIOLETA SEM NUMERO,-22.90627,-43.30792,AGUA SANTA,ZONA NORTE,365.0
