id,tipo_escola,nome_escola,endereço,numero,bairro,subprefeitura,lat,lon,qtd_material_didatico
178,CENTRO,INTEGRADO DE EDUCACAO PUBLICA HENFIL,RUA CARLOS SEIDL SEM NUMERO,9999,CAJU,CENTRO,-22.88089,-43.22533,20.0
634,EM,ALICE DO AMARAL PEIXOTO,RUA EBANO 187,187,BENFICA,CENTRO,-22.88957,-43.2362,121.0
600,EM,URUGUAI,RUA ANA NERI 192,192,BENFICA,CENTRO,-22.89849,-43.23776,591.0
476,ESCOLA,MUNICIPAL FLORIANO PEIXOTO,PRACA ARGENTINA 20,20,SAO CRISTOVAO,CENTRO,-22.89763,-43.22746,190.0
280,ESCOLA,MUNICIPAL GENERAL HUMBERTO DE SOUZA MELLO,RUA OITO DE DEZEMBRO 275,275,MARACANA/ VILA ISABEL,GRANDE TIJUCA,-22.90982,-43.23939,491.0
060,ESCOLA,MUNICIPAL BARAO HOMEM DE MELO,RUA ALM JOAO CANDIDO BRASIL 352,352,MARACANA/ TIJUCA,GRANDE TIJUCA,-22.91683,-43.23692,342.0
011,CIEP,SAMUEL WEINER,AVENIDA HEITOR BELTRAO SEM NUMERO,9999,TIJUCA,GRANDE TIJUCA,-22.92127,-43.228,445.0
361,EM,PRUDENTE DE MORAES,RUA ENES DE SOUSA 36,36,TIJUCA,GRANDE TIJUCA,-22.92906,-43.23287,63.0
163,EM,LAUDIMIA TROTTA,RUA ANTONIO BASILIO 370,370,TIJUCA,GRANDE TIJUCA,-22.92684,-43.23789,576.0
180,ESCOLA,MUNICIPAL EQUADOR,BOULEVARD 28 DE SETEMBRO 353,28,VILA ISABEL,GRANDE TIJUCA,-22.91615,-43.24705,185.0
226,EM,AFRANIO PEIXOTO,RUA FERREIRA PONTES 328,328,ANDARAI,GRANDE TIJUCA,-22.92686,-43.25491,164.0
126,EM,DUQUE DE CAXIAS,RUA MAL JOFRE 74,74,GRAJAU,GRANDE TIJUCA,-22.91854,-43.26509,399.0
157,E.M.,SARMIENTO,RUA VINTE QUATRO DE MAIO 931,931,ENGENHO NOVO,ZONA NORTE,-22.90303,-43.26788,350.0
117,CIEP,CHANCELER WILLY BRANDT,RUA ALVARO SEIXAS SEM NUMERO,9999,JACARE,ZONA NORTE,-22.89418,-43.26385,457.0
259,EM,PERNAMBUCO,RUA CONDE DE AZAMBUJA 579,579,MARIA DA GRACA,ZONA NORTE,-22.88418,-43.26262,158.0
351,CENTRO,INTEGRADO DE EDUCACAO PUBLICA VINICIUS DE MORAES,AVENIDA DOM HELDER CAMARA 1715,1715,JACARE,ZONA NORTE,-22.88532,-43.2541,489.0
422,ESCOLA,MUNICIPAL ALBINO SOUZA CRUZ,AVENIDA DOS DEMOCRATICOS 268,268,MANGUINHOS,ZONA NORTE,-22.88099,-43.25325,123.0
260,EM,PROFESSOR JOSUE DE CASTRO,AVENIDA BRASIL 4040 RUA DA VITORIA,4040,BONSUCESSO,ZONA NORTE,-22.87374,-43.24071,397.0
118,CENTRO,INTEGRADO DE EDUCACAO PUBLICA ELIS REGINA,RUA PRINCIPAL SEM NUMERO,9999,BONSUCESSO,ZONA NORTE,-22.85783,-43.24045,210.0
121,EM,DILERMANDO CRUZ,AVENIDA TEIXEIRA DE CASTRO 407,407,RAMOS,ZONA NORTE,-22.85387,-43.25245,167.0
140,EM,PEDRO LESSA,RUA ADAIL 49,49,BONSUCESSO,ZONA NORTE,-22.86047,-43.25428,153.0
263,EM,PADRE MANUEL DE NOBREGA,PRACA ELBA 1215,1215,VIGARIO GERAL,ZONA NORTE,-22.85714,-43.26416,292.0
498,EM,CHILE,PRAÇA BELMONTE 15,15,OLARIA,ZONA NORTE,-22.84858,-43.26859,61.0
230,EM,BERLIM,PRAÇA RAMOS FIGUEIRA 20,20,OLARIA,ZONA NORTE,-22.84779,-43.26144,24.0
663,EM,CIENTISTA MARIO KROEFF,RUA DO COUTO 91,91,PENHA,ZONA NORTE,-22.83896,-43.27517,426.0
146,EM,BERNARDO VASCONCELOS,PRAÇA SANTA ROSALIA 100,100,PENHA,ZONA NORTE,-22.84563,-43.28401,151.0
566,EM,BRANT HORTA,RUA BENTO CARDOSO 130,130,PENHA CIRCULAR,ZONA NORTE,-22.83567,-43.28816,564.0
161,E.M,JOAO DE DEUS,PRAÇA ALMEIDA GARRET SEM NUMERO,9999,PENHA CIRCULAR,ZONA NORTE,-22.82995,-43.28211,509.0
537,EM,ARY QUINTELLA,RUA ENG MOREIRA LIMA 54,54,PENHA CIRCULAR,ZONA NORTE,-22.83941,-43.30007,234.0
623,EM,CECILIA MEIRELES,RUA SD SERVINO MENGARDA 260,260,VILA KOSMOS,ZONA NORTE,-22.84944,-43.30379,416.0
673,ESCOLA,MUNICIPAL GRECIA,AVENIDA BRAZ DE PINA 1614,1614,VILA DA PENHA,ZONA NORTE,-22.83783,-43.31254,393.0
388,EM,CARDEAL CAMARA,RUA ANAMA 98,98,PARADA DE LUCAS,ZONA NORTE,-22.81527,-43.30357,504.0
041,EM,ANDRADE NEVES,RUA VIANA DO CASTELO SEM NUMERO,9999,JARDIM AMERICA,ZONA NORTE,-22.80945,-43.32629,468.0
090,EM,THOMAS JEFFERSON,AVENIDAENIDA PASTOR MARTIN LUTHER KING JR SEM NUMERO,9999,ACARI,ZONA NORTE,-22.81631,-43.34015,67.0
390,E.M.,ANDREA FONTES PEIXOTO,RUA FAUSTO E CASTRO SEM NUMERO,9999,PARQUE COLUMBIA,ZONA NORTE,-22.81631,-43.34015,257.0
415,ESCOLA,MUNICIPAL LUIZ DE CAMOES,ESTRUA LUIZDE CAMOES 1446,1446,COLEGIO,ZONA NORTE,-22.84604,-43.33867,152.0
031,E.M.,PARA,AVENIDA DOS ITALIANOS 500,500,ROCHA MIRANDA,ZONA NORTE,-22.85196,-43.34949,115.0
248,E.M.,ASPIRANTE CARLOS ALFREDO,RUA IBIA 105,105,TURIACU,ZONA NORTE,-22.86085,-43.34455,513.0
412,EM,MOZART LAGO,RUA JOSE CARVALHO SALGADO SEM NUMERO,9999,OSWALDO CRUZ,ZONA NORTE,-22.87221,-43.35033,395.0
069,ESCOLA,MUNICIPAL CARDEAL ARCOVERDE,RUA AGOSTINHO BARBALHO 401,401,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468.0
514,EM,PARANA,AVENIDA ERNANI CARDOSO 316,316,CASCADURA,ZONA NORTE,-22.88241,-43.33811,534.0
206,EM,HONDURAS,PRACA BARAO DA TAQUARA 12,12,PRACA SECA,JACAREPAGUA,-22.89693,-43.35267,392.0
023,EM,CERVANTES,RUA ABILIO DOS SANTOS 170,170,BENTO RIBEIRO,ZONA NORTE,-22.86459,-43.36595,342.0
495,EM.,ENGENHEIRO LAFAYETTE DE ANDRADA,AVENIDA DUQUE DE CAXIAS 170,170,DEODORO,GRANDE BANGU,-22.85609,-43.38661,128.0
091,E.M.,PIAUI,AVENIDAENIDA BRASIL 23364,23364,GUADALUPE,ZONA NORTE,-22.84542,-43.37852,342.0
589,EM,MARIO PIRAGIBE,PRACA NOSSA SENHORA DAS DORES SEM NUMERO,9999,ANCHIETA,ZONA NORTE,-22.82558,-43.39208,317.0
256,ESCOLA,MUNICIPAL PARAIBA,ESTRADA MARECHAL ALENCASTRO 4035,4035,ANCHIETA,ZONA NORTE,-22.82636,-43.40288,345.0
608,EM,GRANDJEAN DE MONTIGNY,PRACA DOS UCRANIANOS SEM NUMERO,9999,PAVUNA,ZONA NORTE,-22.81389,-43.37393,260.0
308,CIEP,THOMAS JEFFERSON,ESTRADA DO ENGENHO NOVO SEM NUMERO,9999,REALENGO,GRANDE BANGU,-22.86652,-43.42515,400.0
520,EM,BARONESA DE SAAVEDRA,RUA MAL BIBIANO COSTALAT 483-639,9999,REALENGO,GRANDE BANGU,-22.87185,-43.43243,136.0
171,ESCOLA,MUNICIPAL PADRE LEONEL FRANCA,AVENIDAENIDA CANAL SEM NUMERO,9999,REALENGO,GRANDE BANGU,-22.88346,-43.42945,235.0
687,EM,TASSO DA SILVEIRA,RUA GENERAL BERNARDINO DE MATOS SEM NUMERO,9999,REALENGO,GRANDE BANGU,-22.88386,-43.41733,342.0
568,EM,VISCONDE DE PORTO SEGURO,RUA TEOFILO GUIMARAES 604,604,JARDIM SULACAP,GRANDE BANGU,-22.88908,-43.39248,362.0
211,EM,FRANCIS HIME,ESTRADA PAU DA FOME 196,196,TAQUARA,JACAREPAGUA,-22.91883,-43.41625,520.0
636,EM,PABLO NERUDA,ESTRADA DO MAPUA SEM NUMERO RUA 3,3,TAQUARA,JACAREPAGUA,-22.92688,-43.38788,161.0
466,ESCOLA,MUNICIPAL NELSON RODRIGUES,RUA FREI LUIZ ALEVATO SEM NUMERO,9999,TAQUARA,JACAREPAGUA,-22.93533,-43.36973,279.0
016,CIEP,JOAO BATISTA DOS SANTOS,RUA EDGAR WERNECK 1565,1565,CIDADE DE DEUS,JACAREPAGUA,-22.94711,-43.35974,430.0
570,EM,HELENA LOPES ABRANCHES,RUA ACAPORI 495,495,GARDENIA AZUL,JACAREPAGUA,-22.96072,-43.35344,466.0
492,EM,MENEZES CORTES,PRACA JOSE ALVES DE AZEVEDO 43,43,FREGUESIA JPA,JACAREPAGUA,-22.94266,-43.33897,342.0
550,EM,25 DE ABRIL,RUA MAMORE 78,78,FREGUESIA JPA,JACAREPAGUA,-22.93816,-43.34258,128.0
527,EM,VIRGILIO VARZEA,RUA JOSE SILVA 155,155,PECHINCHA,JACAREPAGUA,-22.93253,-43.35113,179.0
414,EM,CLAUDIO BESSERMAN VIANNA - BUSSUNDA,ESTRADA DE JACAREPAGUA 3327,3327,RIO DAS PEDRAS,OUTRO,-22.97336,-43.32916,26.0
653,EM,LUCIA MIGUEL PEREIRA,RUA MARTAGAO GESTEIRA SEM NUMERO,9999,SAO CONRADO,ZONA SUL,-22.99742,-43.27218,159.0
587,EM,ALMIRANTE TAMANDARE,AVENIDAENIDA PRESIDENTE JOAO GOULART 296,296,VIDIGAL,ZONA SUL,-22.9937,-43.23558,336.0
382,EM,SANTOS ANJOS,RUA HUMBERTO DE CAMPOS SEM NUMERO,9999,LEBLON,ZONA SUL,-22.98156,-43.21703,262.0
540,EM,HENRIQUE DODSWORTH,AVENIDAENIDA EPITACIO PESSOA 474,474,IPANEMA,ZONA SUL,-22.98196,-43.21358,516.0
017,E.M,PRESIDENTE JOSE LINHARES,RUA BARAO DA TORRE 90,90,IPANEMA,ZONA SUL,-22.98333,-43.19904,48.0
413,EM,COCIO BARCELOS,RUA BARAO DE IPANEMA 34,34,COPACABANA,ZONA SUL,-22.97483,-43.18906,342.0
558,EM,CICERO PENA,AVENIDA ATLANTICA 1976,1976,COPACABANA,ZONA SUL,-22.96865,-43.18114,573.0
268,ESCOLA,MUNICIPAL MINAS GERAIS,AVENIDAENIDA PASTEUR 433,433,URCA,ZONA SUL,-22.95382,-43.16888,308.0
450,EM,ALBERTO BARTH,AVENIDAENIDA OSWALDO CRUZ 124,124,FLAMENGO,ZONA SUL,-22.94071,-43.17647,420.0
035,EM,SENADOR CORREA,RUA SEN CORREA,9999,LARANJEIRAS,ZONA SUL,-22.93399,-43.18101,525.0
331,CIEP,TANCREDO NEVES,RUA DO CATETE 77,77,CATETE,ZONA SUL,-22.92278,-43.17668,223.0
483,EM,CELESTINO SILVA,RUA DO LAVENIDARADIO 56,56,CENTRO,CENTRO,-22.90929,-43.18358,220.0
055,EM,SANTA CATARINA,RUA EDUARDO SANTOS 38,38,SANTA TERESA,CENTRO,-22.91554,-43.19159,92.0
490,E.M,TIA CIATA,AVENIDAENIDA PRESIDENTE VARGAS SEM NUMERO,9999,CENTRO,CENTRO,-22.90712,-43.19507,578.0
638,E.M,AZEVEDO SODRE,RUA BARAO DE UBA 331,331,PRACA DA BANDEIRA,GRANDE TIJUCA,-22.91545,-43.21109,293.0
089,EM,MARIO CLAUDIO,RUA HADDOCK LOBO 148,148,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473.0
132,EM,PEREIRA PASSOS,PRACA CONDESSA PAULO DE FRONTIN 45,45,RIO COMPRIDO,CENTRO,-22.92441,-43.20858,67.0
523,EM,PRESIDENTE DA COSTA E SILVA,RUA ASSUNCAO 257,257,BOTAFOGO,ZONA SUL,-22.94556,-43.18659,111.0
309,EM,MEXICO,RUA DA MATRIZ 67,67,BOTAFOGO,ZONA SUL,-22.95271,-43.19176,319.0
387,CIEP,PRESIDENTE AGOSTINHO NETO,RUA VISCONDE DE SILVA SEM NUMERO,9999,HUMAITA,ZONA SUL,-22.95917,-43.19972,456.0
025,ESCOLA,MUNICIPAL GEORGE SUMMER,RUA ANA NERI,9999,RIACHUELO,ZONA NORTE,-22.9007,-43.25541,183.0
373,EM,PROFESSOR AUGUSTO PAULINO,RUA CONEGO TOBIAS 116,116,MEIER,ZONA NORTE,-22.90416,-43.28033,44.0
660,E.M,NOSSA SENHORA DA POMPEIA,RUA CIRNE MAIA 109,109,TODOS OS SANTOS,ZONA NORTE,-22.89203,-43.27992,342.0
502,CIEP,PATRICE LUMUMBA,PRACA DA CONFEDERACAO SUICA SEM NUMERO,9999,DEL CASTILHO,ZONA NORTE,-22.87836,-43.27489,493.0
135,EM,DOMINGOS BEBIANO,ESTRUA ADHEMAR BEBIANO 1870,1870,INHAUMA,ZONA NORTE,-22.87389,-43.27771,456.0
440,EM,JOAQUIM RIBEIRO,PRAÇA SOLDADO COSME DOS SANTOS 28,28,INHAUMA,ZONA NORTE,-22.87757,-43.28563,530.0
217,EM,ALAGOAS,AVENIDA DOM HELDER CAMARA 6742,6742,PILARES,ZONA NORTE,-22.88134,-43.29409,440.0
020,EM,TAGORE,PRAÇA FREDERICO DUVAL SEM NUMERO,9999,PIEDADE,ZONA NORTE,-22.88766,-43.30247,255.0
429,EM,FELIX PACHECO,RUA ASSIS CARNEIRO 649,649,PIEDADE,ZONA NORTE,-22.89509,-43.31383,342.0
378,EM,BRIGADEIRO FARIA LIMA,RUA VIOLETA SEM NUMERO,9999,AGUA SANTA,ZONA NORTE,-22.90627,-43.30792,365.0
624,EM,RIO GRANDE DO SUL,RUA ADOLFO BERGAMINI 201,201,ENGENHO DE DENTRO,ZONA NORTE,-22.90034,-43.29594,109.0
603,EM,ESPIRITO SANTO,RUA HERCULANO PENA S/N,9999,CAVALCANTI,ZONA NORTE,-22.8743,-43.31472,352.0
676,ESCOLA,MUNICIPAL ANISIO TEIXEIRA,RUA SERENATA 40,40,JARDIM GUANABARA,ILHAS,-22.81244,-43.20966,180.0
274,EM,ABEILARD FEIJO,ESTRADA DA CACUIA 1386,1386,CACUIA,ILHAS,-22.80769,-43.18156,561.0
576,EM,CORYNTHO DA FONSECA,RUA URUQUE SEM NUMERO,9999,REALENGO,GRANDE BANGU,-22.85894,-43.44387,148.0
689,EM,MOACIR PADILHA,RUA GENERAL GOMES DE CASTRO 30,30,PADRE MIGUEL,GRANDE BANGU,-22.86877,-43.45065,571.0
641,EM,LAURO MULLER,RUA ROSA DE ALMEIDA 113,113,PADRE MIGUEL,GRANDE BANGU,-22.88207,-43.44644,269.0
477,EM,PAULO MARANHAO,RUA DO GOVERNO 866,866,REALENGO,GRANDE BANGU,-22.89299,-43.44122,187.0
398,EM,LEONARDO DA VINCI,RUA RENATO REBECCHI SEM NUMERO,9999,BANGU,GRANDE BANGU,-22.89253,-43.47295,315.0
175,E.M.,NACOES UNIDAS,RUA DOS LIMADORES SEM NUMERO,9999,BANGU,GRANDE BANGU,-22.88815,-43.47629,435.0
586,CIEP,ANTONIO EVARISTO DE MORAES,AVENIDAENIDA DE SANTA CRUZ SEM NUMERO,9999,SENADOR CAMARA,GRANDE BANGU,-22.88179,-43.48733,194.0
080,E.M.,JOSE MAURO DE VASCONCELOS,RUA MARLIERIA SEM NUMERO,9999,BANGU,GRANDE BANGU,-22.85044,-43.46686,599.0
534,EM,CORA CORALINA,RUA VOTORANTIM S/N KM 10 MENDANHA,10,CAMPO GRANDE,ZONA OESTE,-22.85878,-43.53705,157.0
262,CIEP,HERIVELTO MARTINS,PRACA SANTO ANASTACIO S/N,9999,AUGUSTO VASCONCELOS,OUTRO,-22.88649,-43.5288,221.0
139,EM,JESUS SOARES PEREIRA,RUA CONSOLACAO 138,138,CAMPO GRANDE,ZONA OESTE,-22.91959,-43.54684,316.0
399,CIEP,CLEMENTINA DE JESUS,AVENIDA ALHAMBRA SEM NUMERO,9999,CAMPO GRANDE,ZONA OESTE,-22.92529,-43.56665,71.0
255,CIEP,FRANCISCO CAVALCANTE PONTES DE MIRANDA,ESTRADA MORICABA SEM NUMERO,9999,SENADOR VASCONCELOS,ZONA OESTE,-22.92529,-43.56665,591.0
052,E.M,PROFESSOR PAULO SILVA,RUA JAIRO CORREA SEM NUMERO,9999,INHOAIBA,ZONA OESTE,-22.90859,-43.58474,330.0
379,CIEP,NELSON MANDELA,PRACA DANIEL LAMES S/N,9999,CAMPO GRANDE,ZONA OESTE,-22.89558,-43.57051,109.0
616,CIEP,PROFESSOR DARCI RIBEIRO,RUA CONCHAS S/N,9999,CAMPO GRANDE,ZONA OESTE,-22.8873,-43.58736,372.0
342,E.M,FERNANDO COSTA,RUA JOSE ALBANO SEM NUMERO,9999,CAMPO GRANDE,ZONA OESTE,-22.89036,-43.59399,296.0
320,COLEGIO,MUNICIPAL PRESIDENTE ANTONIO CARLOS,RUA PEQUIA 97,97,COSMOS,ZONA OESTE,-22.91097,-43.61605,479.0
319,EM,MARECHAL PEDRO CAVALCANTI,RUA PORTO FIRME SEM NUMERO,9999,PACIENCIA,ZONA OESTE,-22.92485,-43.63289,537.0
297,EM,PROFESSORA SILVIA DE ARAUJO TOLEDO,AVENIDAENIDA CANAL 3 SEM NUMERO CONJ CESARAO,3,SANTA CRUZ,ZONA OESTE,-22.93011,-43.6529,342.0
323,CIEP,ISMAEL NERY,AVENIDAENIDA CESARIO DE MELO SEM NUMERO,9999,SANTA CRUZ,ZONA OESTE,-22.93416,-43.66213,106.0
560,EM,ANDRE VIDAL DE NEGREIROS,RUA FELIPE CARDOSO 750,750,SANTA CRUZ,ZONA OESTE,-22.92139,-43.68058,308.0
311,EM,PESTALOZZI,RUA SEVERIANO DAS CHAGAS SEM NUMERO,9999,SANTA CRUZ,ZONA OESTE,-22.91572,-43.67975,162.0
246,EM,FERNANDO AZEVEDO,RUA DAS PALMEIRAS IMPERIAIS SEM NUMERO,9999,SANTA CRUZ,ZONA OESTE,-22.92306,-43.69233,459.0
068,EM,WALQUIR PEREIRA,ESTRADA DE SEPETIBA S/N BLOCO 1,1,NOVA SEPETIBA,OUTRO,-22.95601,-43.68675,135.0
584,ESCOLA,MUNICIPAL NELSON ROMERO,RUA JOSE BALDINO SEM NUMERO,9999,SEPETIBA,ZONA OESTE,-22.97174,-43.69735,342.0
289,EM,BERTHA LUTZ,ESTRADA DO PIAI 2075,2075,GUARATIBA,ZONA OESTE,-22.97906,-43.67058,329.0
515,CIEP,HILDEBRANDO DE ARAUJO GOES,ESTRADA DA PEDRA SEM NUMERO,9999,PEDRA DE GUARATIBA,ZONA OESTE,-22.97451,-43.64817,341.0
474,EM,ENGENHEIRO GASTAO RANGEL,ESTRADA DO MAGARCA 9183,9183,GUARATIBA,ZONA OESTE,-22.98046,-43.64354,320.0
210,EM,DEBORA MENDES DE MORAES,RUA BELCHIOR DA FONSECA 643,643,PEDRA DE GUARATIBA,ZONA OESTE,-23.00142,-43.63876,570.0
606,EM,PROFESSOR CASTILHO,CAMINHO DA MATRIZ 4406,4406,ILHA DE GUARATIBA,ZONA OESTE,-22.99412,-43.59368,521.0
301,EM,JONATAS SERRANO,ESTRADA DO MATO ALTO SEM NUMERO,9999,GUARATIBA,ZONA OESTE,-22.95316,-43.57741,335.0
144,EM,ALFREDO CESARIO ALVIM,RUA RIO DA PRATA RUA LUISA MARILAC 20,20,CAMPO GRANDE,ZONA OESTE,-22.92315,-43.51877,99.0
202,E.M.,PROFESSOR TEOFILO MOREIRA DA COSTA,RUA ESPERANCA 387,387,VARGEM GRANDE,BARRA DA TIJUCA,-22.98173,-43.49164,121.0
528,CIEP,MARGARET MEE,RUA MINISTRO ALIOMAR BALEEIRO SEM NUMERO,9999,RECREIO,BARRA DA TIJUCA,-23.01981,-43.48172,51.0
215,E.M.,NARCISA AMALIA,ESTRADA TEODORETO DE CAMARGO SEM NUMERO,9999,ILHA DE GUARATIBA,ZONA OESTE,-23.00908,-43.53758,342.0
